---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,EntryType12,Entry12,WeightOrCount12,DataCurves,Entries,Notes
PickFormat,"All","0","0","False","False","InitializeName","{BaseName}","1","GoToNameSpawnRowByPackSize","MaybeAddTitles|1","1","GoToNameSpawnRowByPackSize","MaybeAddPackTitles|2-10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MaybeAddTitles,"Pick","6","0","False","False","GoToNameSpawnRow","AddPreTitle","6","GoToNameSpawnRow","AddPostTitle","6","GoToNameSpawnRow","AddBothTitles","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MaybeAddPreTitle,"Pick","3","0","False","False","GoToNameSpawnRow","AddPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MaybeAddPackTitles,"Pick","10","0","False","False","SetNameParameter","BaseName|{BaseName}, {PackName} {PackRole}","1","SetNameParameter","BaseName|{BaseName} of The {PackName}","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddPreTitle,"Pick","0","0","False","False","SetNameParameter","BaseName|{PreTitle} {BaseName}","2","SetNameParameter","BaseName|{PreTitlePrefix}{PreTitleSuffix} {BaseName}","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddPostTitle,"Pick","0","0","False","False","SetNameParameter","BaseName|{BaseName} the {TheTitle}","3","SetNameParameter","BaseName|{BaseName}, {OfTitleFirst} of {OfTitleSecond}","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddBothTitles,"All","0","0","False","False","GoToNameSpawnRow","AddPreTitle","1","GoToNameSpawnRow","AddPostTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
PickFormatNoPostTitle,"All","0","0","False","False","InitializeName","{BaseName}","1","GoToNameSpawnRowByPackSize","MaybeAddPreTitle|1","1","GoToNameSpawnRowByPackSize","MaybeAddPackTitles|2-10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinName,"All","0","0","False","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","GoblinPrefixSuffix","1","GoToNameSpawnRow","GoblinOfTitle","1","GoToNameSpawnRow","GoblinTheTitleExpansion","1","GoToNameSpawnRow","GoblinTheTitle","1","GoToNameSpawnRow","GoblinPreTitle","1","GoToNameSpawnRow","GoblinPackRoles","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinPrefixSuffix,"All","0","0","False","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Gob/Grim/Shim/Yub/Nub/Lub/Lig/Ur/Big/Frig/Dig/Yop/Slip/Kur/Zub/Zib/Woo/Igg/Stig/Pork/Pum/Tum/Toot/Lobb/Obbo/Pig/Pip/Sug/Sop/Sloo/Nar/Nab/Nog/Mug/Mog/Tog/Yop/Bop/Boop/Blip","1","SetNameParameter","Suffix|lips/snuck/bog/blip/wim/smip/lobble/wobble/stink/shanks/tiki/ogle/licker/zim/grob/oo/vid/per/wash/aloo/ali/iki/anoo/'taka/'tana/'oo/'yogo/les/illy/um/ums","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
