---,Group,SubGroup,MaxCount,DisplayName,Description,Icon,bIsEnabled,bCanCraftDirectly,bRequired,Prop,Vendor,TraitString,GameplayTags,UpgradeTo,bShowCraftingConfirmation,bShowStorageTab,PropType,CustomCraftingVerb,QualityTags,CostType1,CostQuery1,Cost1,CostQuantity1,CostText1,CostIcon1,CostType2,CostQuery2,Cost2,CostQuantity2,CostText2,CostIcon2,Notes
Arch_Stone_Broken,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""D06076774FAA89823882A8A0C982E797"", ""Busted Stone Arch"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestArchStone.FortTestArchStone_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","StoneRock_T1_Sandstone","50","","None","None","Name","None","0","","None",""
Banner_Battlefield_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""84550A844D8E8543BAA020BA0BBB9FE2"", ""Musty Old Banners"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_banner_bf_01.fort_banner_bf_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","WoodLog_T1_Ash","20","","None","None","Name","None","0","","None",""
Banner_Imperial_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""2CCBA8BB4EDD594BE62777A483057BC3"", ""Imperial Frontier Banner"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_banner_io_01.fort_banner_io_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodPlank_T1_Ash","60","","None","Currency","Name","StoneBlock_T1_Sandstone","15","","None",""
BannerAlpha_01,"(RowName=""Decorations"")","(RowName=""Misc"")","1","NSLOCTEXT(""FortPropsTable"", ""D78F20B94D28E9FFF623D98241EA7A4C"", ""Alpha Hero Banner I"")","NSLOCTEXT(""FortPropsTable"", ""EE52DBE0462E569C6C4F30BF9162639E"", ""Thank you gift for participation in Closed Alpha testing, 2018"")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/alpha_1_banner.alpha_1_banner","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_banner_alpha1gift.fort_prop_banner_alpha1gift_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","None","None","None","0","","None","None","Name","None","0","","None",""
BannerAlpha_02,"(RowName=""Decorations"")","(RowName=""Misc"")","1","NSLOCTEXT(""FortPropsTable"", ""AC1FF8374E64A61894DA988CBAD74961"", ""Alpha Hero Banner II"")","NSLOCTEXT(""FortPropsTable"", ""7784EE05458F5325C04E3AA3BF6864EA"", ""Thank you gift for participation in Closed Alpha testing, 2019. "")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/alpha_3_banner.alpha_3_banner","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_banner_alpha3gift.fort_prop_banner_alpha3gift_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","1","","None","None","Name","None","0","","None",""
Barrel,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""B25C6C5743850B95150579AE34E6EC82"", ""Sturdy Useful Barrel"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestBarrel03.FortTestBarrel03_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","None","Name","None","0","","None",""
BarrelGroup,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E5A0F8F5486A43E147713C90530FCF07"", ""Buncha Wooden Barrels"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_barrelgrp_a_bp.fort_prop_barrelgrp_a_bp_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","750","","None","None","Name","None","0","","None",""
BarrelofEmberCrystals,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""8FD3DFC346586CDC488CAD8569BE412A"", ""Crystal Filled Barrel"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_barrel_crystals_01.fort_barrel_crystals_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","3300","","None","None","Name","None","0","","None",""
Bench_Wooden,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""90BDB0BE4408781C3AD230919F985110"", ""Splintered Bench"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestGoblinBench.FortTestGoblinBench_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","None","Name","None","0","","None",""
Brazier,"(RowName=""Decorations"")","(RowName=""Misc"")","4","NSLOCTEXT(""FortPropsTable"", ""F47F7C684BED93096070F1B4576CB0FC"", ""Evil-looking Brazier"")","","None","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestEvilBrazier.FortTestEvilBrazier_C","None","","None","None","False","False","FortDecor","","(GameplayTags=)","Currency","Name","StoneBlock_T1_Sandstone","15","NSLOCTEXT(""FortPropsTable"", ""774F2677406468C7A63727B35BACEB06"", ""15 Sandstone Blocks"")","None","Currency","Name","MetalBar_T1_Tin","2","NSLOCTEXT(""FortPropsTable"", ""E7E72D4B4B06B0A1DD6545B6AD8F2912"", ""2 Tin Bars"")","None",""
